领路,带路
列举,罗列
良心,良知
恋情,爱情
恋恋不舍,依依不舍
脸孔,面孔
联络,联系
厉兵秣马,严阵以待
理会,理睬
理睬,理会
离任,离职
冷言冷语,冷嘲热讽
冷嘲热讽,冷言冷语
老生常谈,陈词滥调
朗诵,朗读
朗读,朗诵
扩散,分散
岿然不动,纹丝不动
宽绰,宽阔
苦尽甘来,否极泰来
空幻,虚幻
坑骗,欺骗
垦荒,开荒
刻不容缓,迫在眉睫
刻板,呆板
克敌制胜,旗开得胜
坎坷,曲折
开荒,拓荒
开诚布公,推心置腹
俊杰,豪杰
绝无仅有,独一无二
绝路,死路
绝交,断交
绝处逢生,逢凶化吉
诀窍,窍门
决然,毅然
娟秀,清秀
具备,具有
巨变,剧变
举荐,推荐
沮丧,懊丧
救死扶伤,治病救人
旧址,原址
酒囊饭袋,行尸走肉
静寂,寂静
竟然,居然
警告,正告
精疲力竭,筋疲力尽
精妙,精巧
经常,常常
禁忌,忌讳
晋级,升级
筋疲力尽,精疲力竭
金碧堂皇,富丽堂皇
借故,托故
解除,消除
竭力,极力
揭示,揭露
接替,代替
搅扰,烦扰
蛟龙得水,如鱼得水
娇小玲珑,小巧玲珑
交战,交兵
匠心独运,独具匠心
疆土,国土
将功折罪,将功补过
间谍,特务
歼灭,消灭
坚硬,坚固
